========================================================================================================================
HTSim 详细仿真日志
转换时间: 2025-08-04 14:27:28
========================================================================================================================

【仿真配置】
--------------------------------------------------------------------------------
  瓶颈速率1 (pkt/s)       : 166 pkt/sec
  瓶颈速率2 (pkt/s)       : 400 pkt/sec
  缓冲区1 (包数)           : 301 pkt
  流数量                 : 2
  包大小                 : 1500 bytes
  往返时延 RTT (秒)        : 0.01
  目标窗口                : 30

【网络组件清单】
--------------------------------------------------------------------------------

队列组件:
  [   3] PQueue2             
  [   4] PQueue3             
  [   5] PQueue4             
  [   1] Queue1              
  [   2] Queue2              
  [   6] queue_back1         
  [   7] queue_back2         

TCP接收端:
  [  13] TCPsink             
  [   9] mptcp_sink          

TCP发送端:
  [   8] MPTCPFlow           

【完整事件时间线】
------------------------------------------------------------------------------------------------------------------------
    行号 |     时间(ms) |          组件          | 事件解释
   122 |    1430.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   123 |    1440.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   124 |    1450.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   125 |    1460.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   126 |    1470.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   127 |    1480.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   128 |    1490.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   129 |    1500.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   130 |    1510.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   131 |    1520.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   132 |    1530.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   133 |    1540.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   134 |    1550.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   135 |    1560.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   136 |    1570.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   137 |    1580.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   138 |    1590.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   139 |    1600.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   140 |    1610.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   141 |    1620.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   142 |    1630.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   143 |    1640.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   144 |    1650.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   145 |    1660.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   146 |    1670.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   147 |    1680.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   148 |    1690.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   149 |    1700.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   150 |    1710.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   151 |    1720.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   152 |    1730.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   153 |    1740.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   154 |    1750.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   155 |    1760.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   156 |    1770.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   157 |    1780.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   158 |    1790.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   159 |    1800.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   160 |    1810.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   161 |    1820.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   162 |    1830.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   163 |    1840.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   164 |    1850.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   165 |    1860.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   166 |    1870.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
   167 |    1880.00 |       TCPsink        | TCP发送 - 序列号:14, 确认号:0, 窗口:0, 拥塞窗口:0.0, 慢启动阈值:0.0, RTT:0.00ms
